gene,vP0_1,vP0_2,vP4_1,vP4_2,vP7_1,vP7_2,vAd_1,vAd_2
ENSMUSG00000051022.8,78,61,58,68,46,57,88,63
ENSMUSG00000083261.5,3,0,0,2,2,2,0,1
ENSMUSG00000107070.2,0,0,0,0,0,0,0,0
ENSMUSG00000082938.2,1,1,0,2,2,3,2,3
ENSMUSG00000089393.3,0,0,0,0,0,0,0,0
ENSMUSG00000106865.2,0,0,0,0,0,0,0,0
ENSMUSG00000106895.2,1,1,1,3,0,0,0,0
ENSMUSG00000107135.2,0,0,0,0,0,0,0,0
ENSMUSG00000029128.13,682,684,707,681,479,567,1601,1454
ENSMUSG00000049691.9,0,0,0,0,0,0,0,0
ENSMUSG00000061755.11,917,2194,1739,1926,1369,1449,1501,1230
ENSMUSG00000107259.2,1,0,0,0,0,0,0,0
ENSMUSG00000098264.3,0,0,0,0,0,0,0,0
ENSMUSG00000106884.2,0,0,0,0,0,0,0,0
ENSMUSG00000067285.5,0,0,1,0,0,0,0,0
ENSMUSG00000106813.2,1,0,0,0,0,0,0,0
ENSMUSG00000106622.3,0,0,0,1,0,0,0,0
ENSMUSG00000107193.2,0,0,0,0,0,1,0,0
ENSMUSG00000106501.2,0,0,0,0,0,0,0,0
ENSMUSG00000105416.2,0,0,0,0,1,0,0,0
ENSMUSG00000105087.2,0,0,3,1,0,1,2,0
ENSMUSG00000085720.9,1,3,0,1,2,5,1,1
ENSMUSG00000039782.16,1186,1336,1092,1199,823,834,1157,1014
ENSMUSG00000105374.2,1,1,0,1,1,0,1,3
ENSMUSG00000105326.2,3,7,10,8,5,7,2,4
ENSMUSG00000104846.2,0,0,0,0,0,0,0,0
ENSMUSG00000107244.2,0,0,0,0,0,0,1,0
ENSMUSG00000104691.2,0,0,0,0,0,0,0,0
ENSMUSG00000061535.12,67,63,102,142,117,112,151,134
ENSMUSG00000104547.2,1,3,6,3,9,4,0,3
ENSMUSG00000087290.3,0,1,3,4,0,0,1,1
ENSMUSG00000104912.2,1,1,2,3,2,1,1,0
ENSMUSG00000039765.16,554,706,549,566,355,368,334,272
ENSMUSG00000039753.17,922,984,804,893,501,516,855,724
ENSMUSG00000104728.2,3,6,2,6,4,6,4,0
ENSMUSG00000104823.2,0,0,0,0,2,0,0,0
ENSMUSG00000106609.2,0,1,0,0,1,0,0,0
ENSMUSG00000104701.2,0,0,0,0,0,0,0,1
ENSMUSG00000029082.18,38,40,25,21,20,18,88,55
ENSMUSG00000029084.6,305,263,276,305,249,221,255,204
ENSMUSG00000086479.3,0,0,0,1,0,1,0,0
ENSMUSG00000087281.2,2,5,4,7,4,4,4,6
ENSMUSG00000033036.10,0,5,0,1,2,1,0,2
ENSMUSG00000093859.3,0,0,0,0,0,0,0,0
ENSMUSG00000059565.5,3,0,0,0,0,1,3,3
ENSMUSG00000106573.2,0,0,0,0,0,0,0,0
ENSMUSG00000105831.2,0,0,0,0,0,0,0,0
ENSMUSG00000048373.9,23,21,22,14,9,8,24,11
ENSMUSG00000029086.16,71,60,43,78,50,44,33,33
ENSMUSG00000105264.2,1,0,0,0,0,0,0,0
ENSMUSG00000072962.4,2,1,1,2,0,0,0,0
ENSMUSG00000105048.2,1,0,1,0,0,3,0,0
ENSMUSG00000105373.2,0,0,0,0,0,0,0,0
ENSMUSG00000105353.2,0,0,0,0,0,0,0,0
ENSMUSG00000105263.2,0,0,1,1,1,0,0,0
ENSMUSG00000046985.12,783,761,693,747,470,442,629,510
ENSMUSG00000105519.2,6,7,9,12,6,4,1,3
ENSMUSG00000105503.2,1,0,0,1,0,2,0,0
ENSMUSG00000105149.2,0,0,0,0,1,0,1,0
ENSMUSG00000104784.2,19,11,9,15,6,8,11,14
ENSMUSG00000106394.2,0,0,0,0,0,0,0,0
ENSMUSG00000104541.2,0,0,0,0,0,0,0,0
ENSMUSG00000104923.2,8,5,8,6,6,3,4,8
ENSMUSG00000104800.2,0,0,0,0,0,0,0,0
ENSMUSG00000039706.12,242,298,262,398,178,174,139,97
ENSMUSG00000105282.2,2,7,10,12,4,3,2,2
ENSMUSG00000105136.2,1,3,1,1,4,4,5,0
ENSMUSG00000106332.2,1,5,3,6,4,2,3,1
ENSMUSG00000105648.2,0,0,0,0,0,0,0,0
ENSMUSG00000105861.2,3,5,7,11,10,4,3,0
ENSMUSG00000104894.5,0,2,4,3,1,4,1,1
ENSMUSG00000104990.2,0,0,1,3,1,2,0,0
ENSMUSG00000105347.2,3,5,3,4,2,6,0,0
ENSMUSG00000105224.2,4,2,2,6,10,3,1,2
ENSMUSG00000104851.2,5,3,4,7,7,1,0,1
ENSMUSG00000106603.2,2,5,0,5,1,1,1,1
ENSMUSG00000106656.2,0,0,0,0,0,0,0,0
ENSMUSG00000062496.10,1,0,1,0,1,3,0,1
ENSMUSG00000067331.6,0,0,0,0,0,0,0,0
ENSMUSG00000029092.10,7,9,7,4,5,1,4,1
ENSMUSG00000104781.2,2,2,3,7,1,1,0,1
ENSMUSG00000105247.2,1,1,0,0,2,0,1,0
ENSMUSG00000015806.13,569,548,542,680,428,440,766,726
ENSMUSG00000105255.2,0,0,0,1,0,0,0,0
ENSMUSG00000049530.7,0,0,0,0,0,0,0,0
ENSMUSG00000039682.13,1021,1193,964,1082,706,731,1102,1255
ENSMUSG00000015804.15,485,411,424,493,273,293,463,501
ENSMUSG00000015879.9,4,3,0,4,1,2,0,1
ENSMUSG00000105745.2,0,0,1,1,0,0,0,0
ENSMUSG00000104837.2,0,0,0,0,0,0,0,0
ENSMUSG00000097825.6,0,0,0,0,0,0,0,1
ENSMUSG00000105634.2,0,0,0,0,0,0,0,1
ENSMUSG00000104665.2,0,0,0,0,0,0,1,0
ENSMUSG00000104986.2,3,3,1,1,0,0,0,1
ENSMUSG00000015880.14,186,327,322,433,112,142,1,4
ENSMUSG00000015882.19,192,530,527,602,295,295,169,126
ENSMUSG00000104342.2,10,20,23,17,11,11,4,2
ENSMUSG00000104852.2,12,16,20,28,11,7,11,2
ENSMUSG00000101587.3,2,9,12,12,4,5,0,0
ENSMUSG00000105457.2,2,5,7,4,6,3,0,3
ENSMUSG00000105459.2,0,1,0,1,0,0,0,0
ENSMUSG00000106602.2,0,0,0,0,0,0,0,0
ENSMUSG00000067321.6,1,2,0,0,1,0,0,0
ENSMUSG00000106875.2,0,0,0,0,0,0,0,0
ENSMUSG00000107113.2,0,0,0,0,0,0,0,0
ENSMUSG00000104660.2,0,0,0,0,0,0,0,0
ENSMUSG00000106402.2,0,0,0,0,0,0,0,0
ENSMUSG00000105616.2,0,0,0,0,0,0,0,0
ENSMUSG00000105994.2,0,0,0,0,0,0,0,0
ENSMUSG00000031558.16,570,618,300,429,181,158,105,102
ENSMUSG00000092309.3,0,0,0,0,2,2,0,0
ENSMUSG00000092559.2,0,0,0,0,0,0,0,0
ENSMUSG00000106214.2,1,0,1,2,0,3,0,1
ENSMUSG00000105502.2,0,1,1,0,0,0,0,0
ENSMUSG00000105184.2,2,1,1,1,0,0,0,0
ENSMUSG00000065603.3,0,0,0,0,0,0,0,0
ENSMUSG00000105086.2,0,0,1,0,0,0,0,0
ENSMUSG00000106604.3,0,0,0,0,0,0,0,0
ENSMUSG00000029089.9,124,172,114,156,79,118,53,52
ENSMUSG00000029088.17,5,24,11,9,14,13,7,6
ENSMUSG00000105653.2,0,0,0,0,0,0,0,0
ENSMUSG00000093502.3,0,0,0,0,1,0,0,0
ENSMUSG00000105574.2,0,0,0,0,0,0,0,0
ENSMUSG00000093748.2,0,0,0,0,0,0,0,0
ENSMUSG00000105530.2,0,0,0,0,0,0,0,0
ENSMUSG00000105454.2,0,0,0,0,0,0,0,0
ENSMUSG00000105958.2,0,0,0,0,0,0,1,1
ENSMUSG00000106404.2,0,0,0,0,0,0,0,2
ENSMUSG00000106408.2,0,0,0,0,0,0,0,0
ENSMUSG00000106414.2,0,0,0,0,0,0,0,0
ENSMUSG00000057577.3,0,0,0,0,0,0,0,0
ENSMUSG00000103544.3,0,0,0,0,0,0,0,0
ENSMUSG00000105974.2,0,0,0,0,0,0,0,0
ENSMUSG00000105791.2,0,1,0,0,0,0,0,0
ENSMUSG00000106469.2,0,0,0,0,0,0,0,0
ENSMUSG00000104655.2,1,0,0,0,0,0,0,0
ENSMUSG00000105332.2,0,0,0,0,0,0,0,0
ENSMUSG00000104929.2,0,0,0,0,0,0,0,0
ENSMUSG00000106244.2,0,0,0,0,0,0,0,0
ENSMUSG00000105620.2,0,0,0,0,0,0,0,0
ENSMUSG00000104562.2,0,0,0,0,0,0,0,0
ENSMUSG00000104661.2,0,0,0,0,0,0,0,0
ENSMUSG00000105922.2,0,1,0,0,0,0,0,0
ENSMUSG00000105983.2,0,0,0,0,0,0,0,0
ENSMUSG00000105828.2,0,0,0,0,0,0,0,0
ENSMUSG00000106579.2,0,0,0,0,0,0,0,0
ENSMUSG00000105700.2,0,0,0,0,0,0,0,0
ENSMUSG00000093490.3,0,0,0,0,0,0,0,0
ENSMUSG00000106539.2,0,0,0,0,0,0,0,0
ENSMUSG00000105771.2,0,0,0,1,0,0,0,0
ENSMUSG00000083477.3,10,6,2,5,4,3,2,7
ENSMUSG00000105540.2,0,0,0,0,0,1,0,0
ENSMUSG00000104634.2,1,1,0,0,0,0,0,0
ENSMUSG00000029090.13,1012,1134,986,936,456,573,544,522
ENSMUSG00000106430.2,8,6,4,8,1,1,4,4
ENSMUSG00000104870.2,0,0,0,0,0,0,0,0
ENSMUSG00000105020.2,0,0,0,0,0,0,0,0
ENSMUSG00000099124.3,0,0,0,0,0,0,0,0
ENSMUSG00000119176.1,0,0,0,0,0,0,0,0
ENSMUSG00000105423.5,0,0,0,0,0,0,0,0
ENSMUSG00000106345.2,0,0,0,0,0,0,0,0
ENSMUSG00000105320.2,0,0,0,0,0,0,0,0
ENSMUSG00000106038.2,0,0,0,0,0,0,0,0
ENSMUSG00000105931.2,0,0,0,0,0,0,0,0
ENSMUSG00000105273.2,0,0,0,0,0,0,0,0
ENSMUSG00000106267.2,0,0,0,0,0,0,0,0
ENSMUSG00002076511.1,0,0,0,0,0,0,0,0
ENSMUSG00000029167.14,2272,3305,1766,2256,1377,1465,2944,1953
ENSMUSG00000105442.2,16,42,21,30,10,19,17,5
ENSMUSG00000105622.2,7,22,10,12,3,5,8,8
ENSMUSG00000106575.2,2,9,1,2,4,4,1,1
ENSMUSG00000105762.2,9,23,12,15,27,12,12,2
ENSMUSG00000105663.2,0,0,0,0,0,0,0,0
ENSMUSG00000106010.2,0,1,0,0,0,0,0,0
ENSMUSG00000104919.2,0,0,0,0,0,0,0,0
ENSMUSG00000105942.2,0,1,0,2,0,0,0,0
ENSMUSG00000106292.2,1,0,1,1,0,0,0,0
ENSMUSG00000104847.2,0,0,0,1,0,0,0,0
ENSMUSG00000098726.3,0,0,0,1,0,0,0,0
ENSMUSG00000106648.2,0,5,5,2,3,3,2,1
ENSMUSG00000029169.12,1994,2490,1713,2163,1150,1123,1336,1180
ENSMUSG00000106607.2,1,5,2,7,5,2,0,0
ENSMUSG00000097145.6,42,80,72,95,66,49,81,72
ENSMUSG00000106464.2,36,86,93,104,78,67,129,97
ENSMUSG00000105328.2,0,1,2,2,0,0,0,1
ENSMUSG00000104751.2,0,0,0,0,0,0,0,0
ENSMUSG00002075892.1,0,0,0,0,0,0,0,0
ENSMUSG00000072941.6,53,38,83,128,186,181,596,613
ENSMUSG00000045790.11,121,100,169,134,123,133,131,65
ENSMUSG00000106380.2,1,3,2,2,1,1,2,2
ENSMUSG00000039252.12,56,43,123,73,57,65,33,34
ENSMUSG00000104829.2,0,0,0,0,1,0,0,0
ENSMUSG00000104974.2,1,0,1,0,0,0,0,0
ENSMUSG00000095078.3,0,0,0,3,0,0,0,0
ENSMUSG00000052295.5,0,0,1,2,2,1,0,0
ENSMUSG00000029173.13,401,496,318,405,245,226,285,236
ENSMUSG00000029186.13,132,143,131,164,71,75,30,46
ENSMUSG00000029179.15,249,293,219,257,168,148,193,119
ENSMUSG00000029176.14,1170,1371,1121,1286,691,701,799,636
ENSMUSG00000105054.2,0,0,0,1,0,0,0,0
ENSMUSG00000077757.3,0,0,0,0,0,0,0,0
ENSMUSG00000106352.5,0,0,0,0,0,0,0,0
ENSMUSG00000106538.2,0,0,0,0,0,0,0,0
ENSMUSG00000029188.15,0,0,0,0,0,0,0,0
ENSMUSG00000090642.3,0,0,0,0,0,0,0,0
ENSMUSG00000029189.11,33,38,35,16,16,32,29,19
ENSMUSG00002076332.1,0,0,0,0,0,0,0,0
ENSMUSG00000061461.12,678,643,641,714,374,395,899,841
ENSMUSG00000106981.2,104,111,120,114,57,67,58,89
ENSMUSG00002076314.1,0,0,0,0,0,0,0,0
ENSMUSG00000106808.2,0,0,0,0,0,0,0,0
ENSMUSG00002075450.1,0,0,0,0,0,0,0,0
ENSMUSG00000039191.13,461,435,307,543,300,265,305,283
ENSMUSG00000106807.2,0,2,1,0,3,2,10,3
ENSMUSG00000107111.2,0,0,0,0,0,1,0,1
ENSMUSG00000029193.8,0,1,0,0,0,0,0,0
ENSMUSG00000039178.10,359,406,301,408,211,214,338,261
ENSMUSG00000107182.2,15,23,20,21,15,10,18,15
ENSMUSG00000107173.2,0,2,2,1,0,2,3,4
ENSMUSG00000039156.20,454,508,500,637,407,345,352,305
ENSMUSG00000107105.2,2,2,2,1,2,1,0,1
ENSMUSG00000105912.2,1,0,0,1,0,0,0,0
ENSMUSG00000106529.2,0,0,0,0,0,0,0,0
ENSMUSG00000105143.2,2,3,0,1,1,0,7,8
ENSMUSG00000106126.2,0,0,0,0,0,0,0,0
ENSMUSG00000077507.3,0,0,0,0,0,0,0,0
ENSMUSG00000106113.2,0,0,0,0,0,0,0,0
ENSMUSG00000065795.3,0,0,0,0,0,0,0,0
ENSMUSG00000105702.2,0,0,0,0,0,0,0,0
ENSMUSG00000105384.2,0,0,0,0,0,0,0,0
ENSMUSG00000105551.2,0,0,0,0,0,0,0,0
ENSMUSG00000083902.3,5,7,6,3,0,5,1,7
ENSMUSG00000105186.2,0,0,0,0,0,0,0,0
ENSMUSG00000106335.2,0,0,0,0,0,0,0,0
ENSMUSG00000105678.2,0,0,0,0,0,0,0,0
ENSMUSG00000105685.2,0,0,0,0,0,0,0,0
ENSMUSG00000106326.2,0,0,0,0,1,0,0,0
ENSMUSG00000088734.3,0,0,0,0,0,0,0,0
ENSMUSG00000088751.3,0,0,0,0,0,0,0,0
ENSMUSG00000077333.3,0,0,0,0,0,0,0,0
ENSMUSG00000104739.2,0,0,0,0,0,0,0,0
ENSMUSG00000104560.2,1,0,0,0,0,1,0,0
ENSMUSG00000105291.2,0,0,0,0,0,0,0,0
ENSMUSG00000105693.2,0,0,0,0,0,0,0,0
ENSMUSG00000104892.2,0,0,0,0,0,0,0,0
ENSMUSG00000097216.4,121,141,111,115,66,55,76,104
ENSMUSG00000051116.7,57,39,32,39,31,26,96,90
ENSMUSG00000104924.2,0,1,0,0,0,0,3,0
ENSMUSG00000106517.2,0,0,0,0,0,0,0,0
ENSMUSG00000029108.15,2553,3869,2891,3218,2035,1792,2927,2854
ENSMUSG00000105940.2,12,27,17,20,18,17,12,10
ENSMUSG00000104821.2,10,19,25,18,14,14,5,6
ENSMUSG00000105637.2,16,46,23,34,28,24,5,16
ENSMUSG00000105050.2,7,28,17,25,11,20,3,12
ENSMUSG00000104564.2,0,0,0,1,1,0,1,0
ENSMUSG00000105079.2,4,12,4,4,4,1,3,1
ENSMUSG00000105877.2,5,8,4,4,8,8,1,3
ENSMUSG00000106337.2,10,22,12,16,10,14,2,11
ENSMUSG00000104871.2,89,205,168,146,108,129,112,66
ENSMUSG00000105431.2,11,23,22,21,11,19,7,3
ENSMUSG00000104709.2,10,33,20,29,17,27,11,4
ENSMUSG00000103959.3,4,21,17,14,9,10,7,6
ENSMUSG00000106646.2,1,7,1,8,2,5,4,1
ENSMUSG00000105049.2,4,17,11,9,13,10,5,5
ENSMUSG00000105525.2,0,0,0,0,0,0,0,0
ENSMUSG00000106146.2,0,0,0,0,0,1,1,0
ENSMUSG00000105269.2,0,0,0,0,0,0,0,0
ENSMUSG00000088796.3,0,0,0,0,0,0,0,0
ENSMUSG00000105234.2,0,0,0,0,0,0,0,0
ENSMUSG00000100557.2,0,0,0,0,0,0,0,0
ENSMUSG00000106509.2,0,0,0,0,0,0,0,0
ENSMUSG00000094696.2,0,0,0,0,0,0,0,0
ENSMUSG00000106467.2,0,0,0,0,0,0,0,0
ENSMUSG00000119859.1,0,0,0,0,0,0,0,0
ENSMUSG00000105038.2,0,0,0,0,0,0,0,0
ENSMUSG00000106634.2,0,0,0,0,0,0,0,0
ENSMUSG00000104889.2,0,0,0,0,0,0,0,0
ENSMUSG00000104563.2,0,0,0,0,0,0,0,0
ENSMUSG00000106013.5,0,0,0,0,0,0,0,0
ENSMUSG00000105158.2,0,0,0,0,0,0,0,0
ENSMUSG00000106250.2,0,0,0,0,0,0,0,0
ENSMUSG00000106170.2,0,0,0,0,0,0,0,0
ENSMUSG00000106042.2,0,0,0,0,0,0,0,0
ENSMUSG00000087034.5,5,4,5,4,2,4,7,6
ENSMUSG00000088048.3,0,0,0,0,0,0,0,0
ENSMUSG00000106548.2,0,0,0,0,0,0,0,0
ENSMUSG00000105486.2,0,0,0,0,0,0,0,0
ENSMUSG00000077555.3,0,0,0,0,0,0,0,0
ENSMUSG00000106044.3,0,0,0,0,0,0,0,0
ENSMUSG00000104775.2,0,1,0,0,0,1,0,0
ENSMUSG00000105903.2,0,0,0,0,0,0,0,0
ENSMUSG00000106370.3,0,0,0,0,0,0,0,0
ENSMUSG00000105675.2,0,0,0,0,0,0,0,0
ENSMUSG00000105573.3,0,0,0,0,0,0,0,0
ENSMUSG00000089992.4,0,0,0,0,0,0,1,0
ENSMUSG00000106530.3,0,0,0,0,0,0,0,0
ENSMUSG00000077228.3,0,0,0,0,0,0,0,0
ENSMUSG00000105285.2,0,0,0,0,0,0,0,0
ENSMUSG00000119858.1,0,0,0,0,0,0,0,0
ENSMUSG00000037999.14,96,167,165,178,157,198,342,254
ENSMUSG00000105694.2,0,2,1,0,0,0,0,0
ENSMUSG00000105707.2,0,2,5,6,5,6,0,2
ENSMUSG00000090326.3,0,0,0,0,0,0,1,0
ENSMUSG00000104868.2,0,0,0,0,0,0,0,0
ENSMUSG00000090061.10,0,0,2,1,1,0,0,0
ENSMUSG00000090138.3,0,0,0,0,0,0,0,0
ENSMUSG00000060512.8,8,9,2,9,6,3,20,10
ENSMUSG00000047881.15,329,349,428,505,313,278,211,185
ENSMUSG00000087552.3,0,2,1,0,4,0,1,0
ENSMUSG00000106076.2,0,0,0,0,0,0,0,0
ENSMUSG00000077209.3,0,0,0,0,0,0,0,0
ENSMUSG00000106219.2,0,0,0,0,0,0,0,0
ENSMUSG00000029171.13,236,265,307,371,174,197,85,148
ENSMUSG00002076449.1,0,0,1,0,1,0,0,0
ENSMUSG00002076429.1,0,0,0,1,0,0,0,0
ENSMUSG00000087954.3,0,0,0,0,0,0,0,0
ENSMUSG00000029174.19,1243,1081,852,1191,600,540,245,248
ENSMUSG00000083435.3,1,2,1,3,4,0,1,0
ENSMUSG00000104947.2,3,4,3,5,1,1,0,2
ENSMUSG00000081143.3,0,0,0,0,1,0,1,0
ENSMUSG00000083100.2,0,1,2,4,0,1,1,0
ENSMUSG00000105730.2,0,0,0,0,0,0,0,0
ENSMUSG00000105443.2,0,0,0,0,0,0,0,0
ENSMUSG00000105105.2,0,0,0,0,0,1,0,0
ENSMUSG00000100911.3,0,0,0,0,0,0,0,0
ENSMUSG00000105251.2,0,0,0,0,0,0,0,0
ENSMUSG00000105352.5,0,0,0,0,0,0,0,0
ENSMUSG00000106566.2,0,0,0,0,0,0,1,0
ENSMUSG00000104961.2,0,0,0,0,0,0,0,0
ENSMUSG00000104806.2,0,0,0,0,0,0,0,0
ENSMUSG00000105402.5,9,54,22,7,35,12,4,21
ENSMUSG00000105183.2,0,0,0,0,0,0,0,0
ENSMUSG00000104928.2,0,0,0,0,0,0,0,0
ENSMUSG00002074850.1,0,0,0,0,0,1,0,0
ENSMUSG00000097668.3,0,0,0,0,0,0,0,0
ENSMUSG00000097640.8,14,17,8,13,10,18,4,7
ENSMUSG00000029178.15,1233,1386,1309,1590,1098,994,1058,985
ENSMUSG00000106205.2,13,21,11,16,18,9,5,8
ENSMUSG00000118495.2,0,0,0,0,1,0,0,0
ENSMUSG00000044827.11,14,19,8,12,15,16,15,15
ENSMUSG00000051498.8,30,31,27,35,14,25,8,29
ENSMUSG00000029185.15,564,591,664,722,408,397,274,243
ENSMUSG00000077042.4,0,0,0,1,2,0,0,0
ENSMUSG00000106186.2,1,3,4,5,6,2,2,1
ENSMUSG00000037913.13,1,2,3,1,1,0,0,2
ENSMUSG00000054920.13,449,421,394,467,332,297,315,301
ENSMUSG00002076210.1,0,0,0,0,0,0,0,0
ENSMUSG00000037890.14,182,186,119,150,96,87,45,35
ENSMUSG00000029191.17,1050,1509,1212,1388,759,749,801,697
ENSMUSG00000105935.2,10,10,6,9,3,2,4,1
ENSMUSG00000029195.11,2,2,0,3,4,2,5,0
ENSMUSG00000047215.15,2407,2895,2130,2611,1357,1464,1745,1731
ENSMUSG00000029199.12,738,796,842,873,575,514,860,759
ENSMUSG00000106291.2,5,5,8,7,4,5,7,5
ENSMUSG00000105896.2,1,2,1,0,0,3,1,6
ENSMUSG00000029201.15,534,572,425,536,367,329,326,615
ENSMUSG00000105835.2,0,0,0,0,0,0,0,0
ENSMUSG00000104917.2,1,2,2,0,3,2,0,3
ENSMUSG00000037822.13,1105,1182,1089,1142,833,879,1264,1033
ENSMUSG00000104641.2,11,11,16,12,14,11,9,4
ENSMUSG00000107195.2,5,23,2,15,3,5,8,11
ENSMUSG00000105601.2,5,10,4,8,4,4,9,5
ENSMUSG00000029203.17,1343,1559,1365,1576,942,1061,1270,1108
ENSMUSG00000107362.2,12,17,18,21,16,9,9,6
ENSMUSG00000107102.2,8,8,5,10,7,6,1,2
ENSMUSG00000029202.13,1396,2010,1562,1947,1011,962,1370,1204
ENSMUSG00000106767.2,13,27,20,25,12,19,12,6
ENSMUSG00000106696.2,6,7,9,10,9,7,6,2
ENSMUSG00000088494.4,0,0,0,1,0,0,0,0
ENSMUSG00000107158.2,2,2,0,4,4,1,0,1
ENSMUSG00000107050.2,7,2,5,7,2,3,4,0
ENSMUSG00000106978.2,58,65,42,58,32,41,28,25
ENSMUSG00000037795.15,1155,1566,967,1074,627,607,445,362
ENSMUSG00002076604.1,1,1,0,3,1,3,0,1
ENSMUSG00000106682.2,9,9,12,12,1,8,4,2
ENSMUSG00000106713.2,0,0,1,0,0,0,0,0
ENSMUSG00000106776.2,0,0,0,1,0,0,0,0
ENSMUSG00000106681.2,0,0,0,0,0,0,0,0
ENSMUSG00000029204.8,8,7,6,9,6,5,8,10
ENSMUSG00000107254.2,0,0,0,0,0,0,0,0
ENSMUSG00000029205.13,0,0,0,0,1,0,0,0
ENSMUSG00000106768.2,0,0,0,0,0,0,0,1
ENSMUSG00000107049.2,0,0,0,0,0,0,0,0
ENSMUSG00000054598.14,0,2,0,1,0,0,0,2
ENSMUSG00002076702.1,0,0,0,0,0,0,0,0
ENSMUSG00000070780.12,13,19,20,28,14,10,17,23
ENSMUSG00000107304.2,0,0,2,1,0,0,2,2
ENSMUSG00000107390.2,2,1,0,2,0,3,5,1
ENSMUSG00000097092.3,0,0,0,0,0,0,0,0
ENSMUSG00000093258.4,0,0,0,0,0,0,0,0
ENSMUSG00000107014.2,0,0,0,0,0,0,0,0
ENSMUSG00000107069.2,0,0,0,0,0,0,0,0
ENSMUSG00000084108.3,0,0,0,0,0,0,0,0
ENSMUSG00000107125.2,0,0,2,0,0,0,0,0
ENSMUSG00000029206.14,2,6,1,5,1,1,3,0
ENSMUSG00000029207.17,1050,1130,1346,1535,1011,1090,1208,1013
ENSMUSG00000106818.2,7,21,16,16,7,10,7,4
ENSMUSG00002076874.1,3,4,2,3,2,4,3,2
ENSMUSG00000107155.2,8,9,4,14,5,2,1,1
ENSMUSG00000106910.2,1,1,8,2,1,2,0,0
ENSMUSG00000106732.2,3,7,10,14,6,3,4,2
ENSMUSG00000106772.2,2,6,12,6,0,10,9,1
ENSMUSG00000107091.2,10,25,20,29,16,16,5,11
ENSMUSG00000106720.2,7,6,10,19,14,8,8,4
ENSMUSG00000106706.2,4,17,14,19,13,20,2,2
ENSMUSG00000087601.4,0,1,0,0,0,0,0,0
ENSMUSG00000029223.13,221,199,223,271,88,142,22,38
ENSMUSG00000107300.2,0,1,0,4,0,0,1,1
ENSMUSG00000107284.2,0,0,0,0,0,0,0,0
ENSMUSG00000037736.21,1141,1283,2778,2935,3027,2640,7095,5352
ENSMUSG00000082420.3,6,4,7,4,4,16,8,6
ENSMUSG00000106749.2,3,2,9,4,2,13,4,3
ENSMUSG00000107290.2,0,1,0,2,0,2,2,1
ENSMUSG00000085839.2,0,0,0,0,1,0,3,3
ENSMUSG00000086964.2,4,3,3,6,4,2,26,32
ENSMUSG00000106785.2,0,0,0,0,0,0,0,0
ENSMUSG00002075048.1,0,3,0,0,0,1,0,0
ENSMUSG00000012520.11,0,2,0,1,0,0,0,0
ENSMUSG00000106995.2,0,0,0,0,0,0,0,0
ENSMUSG00000107319.2,1,6,6,2,3,2,10,9
ENSMUSG00000037720.17,645,734,598,647,397,411,809,1081
ENSMUSG00000029221.16,2424,2545,2463,2745,1869,1758,3603,2871
ENSMUSG00000107266.2,0,1,2,0,0,0,0,0
ENSMUSG00000092060.5,926,918,662,902,232,302,77,74
ENSMUSG00000097840.2,6,4,2,5,6,1,2,1
ENSMUSG00000106832.2,4,5,7,5,1,0,0,1
ENSMUSG00000106925.2,0,0,0,0,0,0,0,0
ENSMUSG00000107385.4,9,14,11,7,3,5,4,2
ENSMUSG00000106947.2,1,1,1,0,2,2,1,0
ENSMUSG00000050010.9,22,25,19,38,25,24,67,40
ENSMUSG00000037685.16,512,543,589,744,507,498,1320,992
ENSMUSG00002076306.1,0,0,0,0,0,0,2,1
ENSMUSG00000107041.2,3,4,2,5,2,4,5,3
ENSMUSG00000085363.2,2,4,5,6,2,2,5,5
ENSMUSG00000106859.2,0,4,0,0,1,1,1,0
ENSMUSG00000106837.2,1,2,0,2,0,2,1,2
ENSMUSG00000107136.2,0,0,4,1,2,5,1,2
ENSMUSG00000087261.3,1,2,1,3,0,1,0,0
ENSMUSG00000107206.2,0,0,0,0,0,0,0,0
ENSMUSG00000095346.2,0,0,0,0,0,0,0,0
ENSMUSG00000106880.2,0,0,0,0,0,0,0,0
ENSMUSG00000094719.5,0,0,0,0,0,0,1,0
ENSMUSG00000106897.2,0,0,0,0,0,0,0,0
ENSMUSG00000107257.2,8,1,1,2,1,0,0,0
ENSMUSG00000068082.13,0,0,0,0,0,0,0,2
ENSMUSG00000106747.2,0,0,0,0,0,0,0,0
ENSMUSG00000107289.2,0,0,0,0,0,0,0,0
ENSMUSG00000087880.3,0,0,0,0,0,0,0,0
ENSMUSG00000106854.2,0,0,0,0,0,0,0,0
ENSMUSG00000107117.2,0,0,0,0,0,0,0,0
ENSMUSG00000037653.8,25,25,17,18,9,13,15,16
ENSMUSG00000107208.2,0,1,0,0,1,0,2,0
ENSMUSG00000107234.2,1,1,0,1,0,0,0,0
ENSMUSG00000107363.2,0,0,1,0,0,0,0,1
ENSMUSG00000106673.2,0,1,0,0,1,0,0,0
ENSMUSG00000106753.2,2,1,4,1,2,0,0,0
ENSMUSG00000107312.2,0,0,1,0,0,1,0,0
ENSMUSG00000107148.2,1,2,2,1,1,1,1,1
ENSMUSG00002076624.1,0,0,0,0,0,0,0,0
ENSMUSG00000119086.1,0,0,0,0,0,0,0,0
